Sensor,Hora
37856,14:47:12
37846,14:47:13
37843,14:47:14
37828,14:47:15
37828,14:47:16
37831,14:47:17
37823,14:47:18
37813,14:47:19
37802,14:47:20
37808,14:47:21
37795,14:47:22
37784,14:47:23
37776,14:47:24
37763,14:47:25
37763,14:47:26
37758,14:47:27
37748,14:47:28
37746,14:47:29
37746,14:47:30
37741,14:47:31
37738,14:47:33
37733,14:47:34
37723,14:47:35
37712,14:47:36
37705,14:47:37
37705,14:47:38
37692,14:47:39
37684,14:47:40
37682,14:47:41
37672,14:47:42
37653,14:47:43
37648,14:47:44
37643,14:47:45
37628,14:47:46
37617,14:47:47
37612,14:47:48
37602,14:47:49
37597,14:47:50
37589,14:47:51
37589,14:47:52
37577,14:47:53
37577,14:47:54
37572,14:47:55
37564,14:47:56
37553,14:47:57
37543,14:47:58
37549,14:47:59
37538,14:48:00
37536,14:48:01
37528,14:48:02
37528,14:48:03
37520,14:48:04
37523,14:48:05
37515,14:48:06
37513,14:48:07
37516,14:48:08
37511,14:48:09
37495,14:48:10
37495,14:48:11
37485,14:48:12
37482,14:48:13
37482,14:48:14
37475,14:48:16
37472,14:48:17
37472,14:48:18
37467,14:48:19
37456,14:48:20
37449,14:48:21
37451,14:48:22
37433,14:48:23
37428,14:48:24
37413,14:48:25
37402,14:48:26
37395,14:48:27
37395,14:48:28
37387,14:48:29
37382,14:48:30
37377,14:48:31
37359,14:48:32
37352,14:48:33
37349,14:48:34
37331,14:48:35
37326,14:48:36
37318,14:48:37
37316,14:48:38
37301,14:48:39
37301,14:48:40
37293,14:48:41
37286,14:48:42
37288,14:48:43
37273,14:48:44
37270,14:48:45
37263,14:48:46
37255,14:48:47
37250,14:48:48
37245,14:48:49
37229,14:48:50
37227,14:48:51
37227,14:48:52
37217,14:48:53
37209,14:48:54
37207,14:48:55
37199,14:48:56
37194,14:48:57
37173,14:48:59
37166,14:49:00
37155,14:49:01
37145,14:49:02
37132,14:49:03
37124,14:49:04
37117,14:49:05
37112,14:49:06
37107,14:49:07
37089,14:49:08
37091,14:49:09
37079,14:49:10
37079,14:49:11
37072,14:49:12
37066,14:49:13
37048,14:49:14
37048,14:49:15
37030,14:49:16
37025,14:49:17
37025,14:49:18
37015,14:49:19
37015,14:49:20
37002,14:49:21
36997,14:49:22
36990,14:49:23
36982,14:49:24
36982,14:49:25
36972,14:49:26
36975,14:49:27
36954,14:49:28
36954,14:49:29
36939,14:49:30
36939,14:49:31
36921,14:49:32
36913,14:49:33
36900,14:49:34
36893,14:49:35
36885,14:49:36
36878,14:49:37
36870,14:49:38
36865,14:49:39
36860,14:49:40
36850,14:49:41
36842,14:49:43
36829,14:49:44
36824,14:49:45
36824,14:49:46
36809,14:49:47
36809,14:49:48
36799,14:49:49
36791,14:49:50
36791,14:49:51
36784,14:49:52
36779,14:49:53
36771,14:49:54
36761,14:49:55
36758,14:49:56
36758,14:49:57
36751,14:49:58
36741,14:49:59
36741,14:50:00
36744,14:50:01
36733,14:50:02
36726,14:50:03
36726,14:50:04
36718,14:50:05
36715,14:50:06
36705,14:50:07
36703,14:50:08
36705,14:50:09
36693,14:50:10
36682,14:50:11
36677,14:50:12
36675,14:50:13
36664,14:50:14
36667,14:50:15
36657,14:50:16
36662,14:50:17
36652,14:50:18
36647,14:50:19
36647,14:50:20
36645,14:50:21
36637,14:50:22
36632,14:50:23
36616,14:50:24
36619,14:50:25
36607,14:50:27
36607,14:50:28
36596,14:50:29
36594,14:50:30
36586,14:50:31
36581,14:50:32
36571,14:50:33
36569,14:50:34
36569,14:50:35
36559,14:50:36
36554,14:50:37
36549,14:50:38
36533,14:50:39
36531,14:50:40
36510,14:50:41
36508,14:50:42
36501,14:50:43
36493,14:50:44
36478,14:50:45
36470,14:50:46
36468,14:50:47
36458,14:50:48
36453,14:50:49
36435,14:50:50
36432,14:50:51
36420,14:50:52
36417,14:50:53
36407,14:50:54
36410,14:50:55
36395,14:50:56
36397,14:50:57
36382,14:50:58
36377,14:50:59
36370,14:51:00
36357,14:51:01
36359,14:51:02
36346,14:51:03
36336,14:51:04
36331,14:51:05
36324,14:51:06
36321,14:51:07
36316,14:51:08
36313,14:51:09
36306,14:51:11
36308,14:51:12
36304,14:51:13
36296,14:51:14
36288,14:51:15
36286,14:51:16
36283,14:51:17
36278,14:51:18
36278,14:51:19
36271,14:51:20
36271,14:51:21
36261,14:51:22
36256,14:51:23
36245,14:51:24
36233,14:51:25
36235,14:51:26
36222,14:51:27
36215,14:51:28
36202,14:51:29
36205,14:51:30
36197,14:51:31
36195,14:51:32
36195,14:51:33
36182,14:51:34
36172,14:51:35
36162,14:51:36
36162,14:51:37
36151,14:51:38
36144,14:51:39
36131,14:51:40
36126,14:51:41
36129,14:51:42
36119,14:51:43
36108,14:51:44
36101,14:51:45
36101,14:51:46
36090,14:51:47
36083,14:51:48
36086,14:51:49
36081,14:51:50
36070,14:51:51
36060,14:51:52
36065,14:51:53
36053,14:51:55
36048,14:51:56
36045,14:51:57
36040,14:51:58
36027,14:51:59
36017,14:52:00
36012,14:52:01
36005,14:52:02
36005,14:52:03
36000,14:52:04
35990,14:52:05
35979,14:52:06
35972,14:52:07
35967,14:52:08
35967,14:52:09
35964,14:52:10
35952,14:52:11
35954,14:52:12
35937,14:52:13
35934,14:52:14
35927,14:52:15
35917,14:52:16
35904,14:52:17
35899,14:52:18
35899,14:52:19
35874,14:52:20
35879,14:52:21
35866,14:52:22
35846,14:52:23
35843,14:52:24
35841,14:52:25
35836,14:52:26
35816,14:52:27
35818,14:52:28
35811,14:52:29
35804,14:52:30
35802,14:52:31
35786,14:52:32
35792,14:52:33
35777,14:52:34
35772,14:52:35
35754,14:52:36
35751,14:52:38
35739,14:52:39
35721,14:52:40
35724,14:52:41
35711,14:52:42
35706,14:52:43
35702,14:52:44
35702,14:52:45
35696,14:52:46
35696,14:52:47
35681,14:52:48
35676,14:52:49
35674,14:52:50
35669,14:52:51
35667,14:52:52
35662,14:52:53
35659,14:52:54
35652,14:52:55
35649,14:52:56
35645,14:52:57
35642,14:52:58
35635,14:52:59
35627,14:53:00
35627,14:53:01
35622,14:53:02
35612,14:53:03
35607,14:53:04
35595,14:53:05
35582,14:53:06
35585,14:53:07
35582,14:53:08
35577,14:53:09
35575,14:53:10
35565,14:53:11
35560,14:53:12
35555,14:53:13
35550,14:53:14
35537,14:53:15
35530,14:53:16
35530,14:53:17
35522,14:53:18
35507,14:53:19
35499,14:53:21
35497,14:53:22
35498,14:53:23
35488,14:53:24
35485,14:53:25
35480,14:53:26
35478,14:53:27
35463,14:53:28
35450,14:53:29
35440,14:53:30
35428,14:53:31
35420,14:53:32
35408,14:53:33
35403,14:53:34
35385,14:53:35
35378,14:53:36
35360,14:53:37
35350,14:53:38
35340,14:53:39
35320,14:53:40
35312,14:53:41
35287,14:53:42
35282,14:53:43
35268,14:53:44
35260,14:53:45
35248,14:53:46
35240,14:53:47
35230,14:53:48
35223,14:53:49
35211,14:53:50
35188,14:53:51
35185,14:53:52
35170,14:53:53
35166,14:53:54
35145,14:53:55
35130,14:53:56
35120,14:53:57
35108,14:53:58
35106,14:53:59
35091,14:54:00
35083,14:54:01
35071,14:54:02
35061,14:54:03
35046,14:54:05
35034,14:54:06
35023,14:54:07
35014,14:54:08
35011,14:54:09
35001,14:54:10
34991,14:54:11
34992,14:54:12
34984,14:54:13
34971,14:54:14
34957,14:54:15
34959,14:54:16
34944,14:54:17
34944,14:54:18
34932,14:54:19
34932,14:54:20
34930,14:54:21
34922,14:54:22
34909,14:54:23
34910,14:54:24
34903,14:54:25
34887,14:54:26
34887,14:54:27
34877,14:54:28
34870,14:54:29
34857,14:54:30
34849,14:54:31
34842,14:54:32
34832,14:54:33
34825,14:54:34
34807,14:54:35
34809,14:54:36
34797,14:54:37
34802,14:54:38
34795,14:54:39
34780,14:54:40
34777,14:54:41
34763,14:54:42
34758,14:54:43
34750,14:54:44
34748,14:54:45
34741,14:54:46
34726,14:54:47
34721,14:54:49
34713,14:54:50
34709,14:54:51
34691,14:54:52
34691,14:54:53
34684,14:54:54
34668,14:54:55
34664,14:54:56
34649,14:54:57
34641,14:54:58
34628,14:54:59
34624,14:55:00
34606,14:55:01
34611,14:55:02
34599,14:55:03
34599,14:55:04
34584,14:55:05
34574,14:55:06
34561,14:55:07
34562,14:55:08
34555,14:55:09
34547,14:55:10
34534,14:55:11
34527,14:55:12
34522,14:55:13
34517,14:55:14
34512,14:55:15
34502,14:55:16
34498,14:55:17
34490,14:55:18
34482,14:55:19
34472,14:55:20
34460,14:55:21
34444,14:55:22
34440,14:55:23
34429,14:55:24
34425,14:55:25
34420,14:55:26
34413,14:55:27
34405,14:55:28
34408,14:55:29
34401,14:55:30
34393,14:55:32
34389,14:55:33
34384,14:55:34
34384,14:55:35
34369,14:55:36
34369,14:55:37
34367,14:55:38
34357,14:55:39
34360,14:55:40
34344,14:55:41
34337,14:55:42
34322,14:55:43
34314,14:55:44
34304,14:55:45
34294,14:55:46
34287,14:55:47
34279,14:55:48
34275,14:55:49
34278,14:55:50
34270,14:55:51
34260,14:55:52
34255,14:55:53
34250,14:55:54
34243,14:55:55
34235,14:55:56
34231,14:55:57
34226,14:55:58
34218,14:55:59
34216,14:56:00
34196,14:56:01
34186,14:56:02
34184,14:56:03
34164,14:56:04
34166,14:56:05
34156,14:56:06
34149,14:56:07
34139,14:56:08
34132,14:56:09
34112,14:56:10
34106,14:56:11
34094,14:56:12
34077,14:56:13
34077,14:56:14
34062,14:56:16
34062,14:56:17
34047,14:56:18
34040,14:56:19
34033,14:56:20
34025,14:56:21
34015,14:56:22
34005,14:56:23
33995,14:56:24
33988,14:56:25
33983,14:56:26
33983,14:56:27
33983,14:56:28
33974,14:56:29
33964,14:56:30
33964,14:56:31
33941,14:56:32
33939,14:56:33
33924,14:56:34
33914,14:56:35
33909,14:56:36
33902,14:56:37
33889,14:56:38
33872,14:56:39
33862,14:56:40
33862,14:56:41
33855,14:56:42
33848,14:56:43
33838,14:56:44
33833,14:56:45
33828,14:56:46
33821,14:56:47
33816,14:56:48
33811,14:56:49
33801,14:56:50
33796,14:56:51
33792,14:56:52
33791,14:56:53
33779,14:56:54
33774,14:56:55
33764,14:56:56
33759,14:56:57
33759,14:56:58
33741,14:57:00
33737,14:57:01
33732,14:57:02
33732,14:57:03
33725,14:57:04
33717,14:57:05
33720,14:57:06
33710,14:57:07
33703,14:57:08
33693,14:57:09
33688,14:57:10
33683,14:57:11
33680,14:57:12
33673,14:57:13
33666,14:57:14
33658,14:57:15
33656,14:57:16
33654,14:57:17
33649,14:57:18
33642,14:57:19
33647,14:57:20
33637,14:57:21
33629,14:57:22
33629,14:57:23
33629,14:57:24
33625,14:57:25
33615,14:57:26
33617,14:57:27
33610,14:57:28
33603,14:57:29
33595,14:57:30
33593,14:57:31
33585,14:57:32
33585,14:57:33
33583,14:57:34
33573,14:57:35
33576,14:57:36
33571,14:57:37
33566,14:57:38
33561,14:57:39
33561,14:57:40
33562,14:57:41
33549,14:57:42
33545,14:57:44
33537,14:57:45
33527,14:57:46
33517,14:57:47
33510,14:57:48
33510,14:57:49
33503,14:57:50
33496,14:57:51
33488,14:57:52
